UniqueBlockID,SimulinkLibrary
Demux,hlsBasic
Divide (HLS),hlsBasic
Equals,hlsBasic
Gain,hlsBasic
Greater,hlsBasic
Greater Equals,hlsBasic
HLS Kernel,hlsBasic
Hermitian,hlsBasic
Import Function,hlsBasic
Lesser,hlsBasic
Lesser Equals,hlsBasic
Logical AND,hlsBasic
Logical NOT,hlsBasic
Logical OR,hlsBasic
Lookup Table,hlsBasic
Matrix Multiply,hlsBasic
Max,hlsBasic
Min,hlsBasic
Modulus,hlsBasic
Mux (HLS),hlsBasic
Negate (HLS),hlsBasic
Not Equals,hlsBasic
Product (HLS),hlsBasic
Product of Elements,hlsBasic
Real-Imag to Complex,hlsBasic
Reduction AND,hlsBasic
Reduction OR,hlsBasic
Reduction XOR,hlsBasic
Reinterpret (HLS),hlsBasic
Remainder,hlsBasic
Reshape Row-Major,hlsBasic
Shift Left,hlsBasic
Shift Right,hlsBasic
Submatrix,hlsBasic
Subtract,hlsBasic
Sum,hlsBasic
Sum of Elements,hlsBasic
Transpose,hlsBasic
Unit Delay,hlsBasic
Window Processing,hlsBasic
Window Processing Kernel,hlsBasic
Window Processing Master,hlsBasic
Window Processing Slave,hlsBasic
Abs,hlsMath
Complex to Polar,hlsMath
Cosine,hlsMath
Exp,hlsMath
Log,hlsMath
Log10,hlsMath
Polar to Complex,hlsMath
Pow,hlsMath
QR Inverse,hlsMath
Reciprocal (HLS),hlsMath
Reciprocal Sqrt,hlsMath
Signum,hlsMath
Sine,hlsMath
Sqrt,hlsMath
Tangent,hlsMath
atan,hlsMath
atan2,hlsMath
cosh,hlsMath
sinh,hlsMath
Interface Spec,hlsUtilities
